,id,creationDate,type,orderName,userName,locationName,storageUnitName,materialName,qualification,quantityExpected,quantityConfirmed,quantityDeviated,motiveType,groupName,groupCode,date_parsed
0,289952c2-034b-49b4-a373-151f91c90b30,2025-10-03T15:22:45.187,9,,Lanz,G1-139-J-1C1,G1,524500,14,13.0,14.0,1.0,0,Apparel Jerseys,121,2025-10-03
1,0011b700-a2ba-4734-b794-104bb78a4d5f,2025-10-03T15:21:08.747,4,UFAN-VLM-100325.01,Inzamam,G1-135-C-2B1,G1,628761,14,0.0,0.0,0.0,0,Apparel Jerseys,121,2025-10-03
2,9d878a2d-7b71-4ef8-a0c8-85d7c05090c4,2025-10-03T15:20:56.680,9,,Lanz,G1-135-C-2B1,G1,628761,14,1.0,0.0,-1.0,0,Apparel Jerseys,121,2025-10-03
3,7e5ba57d-ee57-42b9-9e06-e70198c08d9e,2025-10-03T15:19:08.460,4,UFAN-VLM-100325.01,Inzamam,G1-129-C-4A1,G1,524821,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
4,c95e2ae8-ae92-4e5d-976a-bf1d85c3d64f,2025-10-03T15:18:52.457,4,UFAN-VLM-100325.01,Inzamam,G1-127-D-1A1,G1,524608,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
5,4ad57065-3692-44f6-97e6-2011a6eab4f5,2025-10-03T15:18:31.830,4,UFAN-VLM-100325.01,Inzamam,G1-125-A-2C1,G1,524818,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
6,ec054062-0702-4fd8-b23b-d13e673eabe0,2025-10-03T15:18:06.037,4,UFAN-VLM-100325.01,Inzamam,G1-121-C-1C1,G1,524831,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
7,176175b1-ae4d-4999-8a68-071412b85771,2025-10-03T15:16:49.687,9,,Nelson,G1-117-D-1C1,G1,395185,14,24.0,0.0,-24.0,0,Apparel Jerseys,121,2025-10-03
8,c382ccd0-a87c-4b49-8409-4262d781941e,2025-10-03T15:16:32.520,9,,Nelson,G1-117-B-4C1,G1,356551,14,24.0,0.0,-24.0,0,Apparel Jerseys,121,2025-10-03
9,a11d8903-1f27-453e-9270-a0b8e4773762,2025-10-03T15:13:34.383,4,CC.JF.25.10.01.22.00.28,david,G3-243-E-3A1,G3,505488,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
10,cbc83bf7-05a6-45be-a279-d59fab049a6d,2025-10-03T15:12:58.957,4,CC.JF.25.10.01.22.00.28,david,G3-243-C-4A1,G3,505919,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
11,732ba8fd-e9ea-476d-b226-162bda28106d,2025-10-03T15:12:41.260,4,CC.JF.25.10.01.22.00.28,david,G3-243-C-1C1,G3,505836,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
12,41165a99-df89-43cb-a16d-9b98edc26779,2025-10-03T15:12:24.170,4,CC.JF.25.10.01.22.00.28,david,G3-243-B-6A1,G3,505663,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
13,e49b18bf-45d5-4f47-ba61-c074ea38d17b,2025-10-03T15:12:06.573,4,CC.JF.25.10.01.22.00.28,david,G3-243-B-4C1,G3,358179,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
14,5ed66c10-0b81-4e59-a802-57c793fbb7ba,2025-10-03T15:11:50.003,4,CC.JF.25.10.01.22.00.28,david,G3-243-B-1C1,G3,358298,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
15,877ec6e7-c8a9-4a40-8697-df0a217e9d7c,2025-10-03T15:11:49.930,4,CC.JF.25.10.01.22.00.28,david,G3-243-B-1C1,G3,358298,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
16,8456cd8e-2085-440d-9776-5f83eaddf9aa,2025-10-03T15:11:29.060,4,CC.JF.25.10.01.22.00.28,david,G3-243-B-1A1,G3,505367,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
17,79a33c30-135d-47bf-b701-0ce6dd036dc9,2025-10-03T15:11:00.980,4,CC.JF.25.10.01.22.00.28,david,G3-241-J-5B1,G3,505421,01,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
18,5ac3a8a1-e252-4893-9150-05f6dc231426,2025-10-03T15:10:15.877,4,UFAN-TT-100325.01,Inzamam,G2-112-E-3C1,G2,620360,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
19,adef5a5e-b6c9-4b8f-836a-a6a0cbec7a9b,2025-10-03T15:10:15.643,4,UFAN-TT-100325.01,Inzamam,G2-112-E-3C1,G2,620360,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
20,bb987836-3376-41d2-ba7e-a6d588bb3952,2025-10-03T15:10:15.357,4,UFAN-TT-100325.01,Inzamam,G2-112-E-3C1,G2,620360,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
21,850f6c2b-13a4-4597-9103-91724ff39758,2025-10-03T15:10:15.193,4,UFAN-TT-100325.01,Inzamam,G2-112-E-3C1,G2,620360,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
22,dfd431ed-e593-4bb5-822f-35ea0b33dbd7,2025-10-03T15:10:02.720,4,UFAN-TT-100325.01,Inzamam,G2-112-E-2C1,G2,620359,14,1.0,1.0,0.0,0,Apparel Jerseys,121,2025-10-03
